,CompanyName,JobTitle,JobDescription,Overall_rating,Comp_Benefits,Culture_Values,Career_Opportunities,Work_Life_Balance,Senior_Management
Data management: merge, clean and analyze large datasets.

Compute and evaluate performance of trading strategies based on quantitative signals and report the results in a systematic manner.

Analyze statistical properties of strategies returns (correlation across strategies and geographic zones)

Use internal back-testing platform to analyze time-series of portfolio returns taking transaction costs into account

Coding and developing analytical tools in Python

Contribute to the firmâ€™s innovation in trading signal definition, dynamic trading optimization, risk-management

Contribute to developing transparent performance analysis that can be used for investor reporting and marketing

QUALIFICATIONS

Education qualifications

Master or PhD in financial economics, mathematics, statistics, engineering, econometrics, machine learning, data science or a related field

Technical skill

Strong statistical/econometrical skills, coding and matrix algebra
Skills in machine learning, natural language processing and/or dynamic optimization is a plus
Knowledge of basic concepts in financial economics (e.g. Markovitz portfolio, market beta, short-selling, Sharpe ratio etc.) is a prerequisite.
Ability to communicate complex research results in a simple and transparent manner.
Knowledge and use of Python is a plus

Key Competencies

Ability to adapt to perform sophisticated data analysis and to communicate results
Ability to meet tight deadlines

Languages required

English

Skills or experience which are desirable but not necessary

Knowledge of basic trading strategies

Finance Industry exposure

ABOUT AXA

Would you like to wake up every day driven and inspired by our noble mission and to work together as one global team to empower people to live a better life? Here at AXA we strive to lead the transformation of our industry. We are looking for talented individuals who come from varied backgrounds, think differently and want to be part of this exciting transformation by challenging the status quo so we can push AXA - a leading global brand and one of the most innovative companies in our industry - onto even greater things.

In a fast-evolving world and with a presence in 64 countries, our 166,000 employees and exclusive distributors anticipate change to offer services and solutions tailored to the current and future needs of our 103 million customers.

We are an active, long-term, global, multi-asset investor focused on enabling more people to harness the power of investing to meet their financial goals. By combining investment insight and innovation with robust risk management we have become one of the largest asset managers in Europe, managing â‚¬746bn in assets as of the end of 2017. We employ about 2,400 people around the world and operate out of 21 countries.

WHAT WE OFFER

We are proud to foster a high-performance culture, which means that we seek to recruit and retain people who are not only technically-skilled but also globally-minded, innovative and able to leverage their unique perspectives and life experiences to support our success as a company.
